Source data: /Users/nancyhd/Documents/Logomatic/Outputs/LOG01.bin
ADC, Accel X, Accel Y, Accel Z
1815,-0.1602,1.999,-0.9414
1815,-0.1533,1.999,-0.9453
1815,-0.1475,1.999,-0.9531
1816,-0.1533,1.999,-0.9463
1815,-0.1563,1.999,-0.9453
1815,-0.1494,1.999,-0.9463
1816,-0.1563,1.999,-0.9463
1816,-0.1533,1.999,-0.9453
1815,-0.1553,1.999,-0.9609
1815,-0.1533,1.999,-0.957
1816,-0.1475,1.999,-0.9414
1815,-0.1563,1.999,-0.9463
1815,-0.1494,1.999,-0.96
1816,-0.1533,1.999,-0.9453
1815,-0.1504,1.999,-0.9473
1816,-0.1484,1.999,-0.9531
1816,-0.1494,1.999,-0.9502
1815,-0.1494,1.999,-0.9453
1815,-0.1563,1.999,-0.957
1815,-0.1553,1.999,-0.9531
1815,-0.1533,1.999,-0.9521
1815,-0.1533,1.999,-0.9453
1815,-0.1494,1.999,-0.9521
1816,-0.1533,1.999,-0.9521
1815,-0.1504,1.999,-0.9424
1815,-0.1533,1.999,-0.9453
1818,-0.1504,1.999,-0.9521
1817,-0.1602,1.999,-0.9502
1817,-0.1602,1.999,-0.9453
1816,-0.1533,1.999,-0.9463
1816,-0.1494,1.999,-0.9531
1816,-0.1504,1.999,-0.9502
1816,-0.1504,1.999,-0.9531
1816,-0.1553,1.999,-0.9463
1816,-0.1563,1.999,-0.9443
1816,-0.1533,1.999,-0.9531
1815,-0.1572,1.999,-0.9463
1816,-0.1494,1.999,-0.9473
1817,-0.1504,1.999,-0.9453
1816,-0.1504,1.999,-0.9521
1816,-0.1494,1.999,-0.9531
1815,-0.1533,1.999,-0.9521
1816,-0.1504,1.999,-0.9502
1816,-0.1494,1.999,-0.9502
1816,-0.1494,1.999,-0.9473
1815,-0.1631,1.999,-0.9453
1815,-0.1563,1.999,-0.9473
1816,-0.1533,1.999,-0.9531
1816,-0.1572,1.999,-0.957
1816,-0.1641,1.999,-0.9424
1815,-0.1484,1.999,-0.9502
1815,-0.1484,1.999,-0.9531
1816,-0.1533,1.999,-0.9531
1816,-0.1484,1.999,-0.9492
1816,-0.1563,1.999,-0.9453
1816,-0.1494,1.999,-0.9502
1816,-0.1533,1.999,-0.9521
1816,-0.1533,1.999,-0.9463
1816,-0.1494,1.999,-0.9453
1815,-0.1523,1.999,-0.9492
1815,-0.1572,1.999,-0.9453
1816,-0.1533,1.999,-0.9521
1816,-0.1504,1.999,-0.9453
1815,-0.1494,1.999,-0.9453
1815,-0.1504,1.999,-0.9521
1815,-0.1494,1.999,-0.9502
1815,-0.1494,1.999,-0.9531
1816,-0.1533,1.999,-0.9502
1815,-0.1533,1.999,-0.9414
1815,-0.1563,1.999,-0.957
1816,-0.1563,1.999,-0.957
1816,-0.1533,1.999,-0.9531
1815,-0.1494,1.999,-0.9502
